Height, Weight, Age, Class
1.70, 65, 20, Programmer
1.90, 85, 33, Builder
1.78, 76, 31, Builder
1.73, 74, 24, Programmer
1.81, 75, 35, Builder
1.73, 70, 75, Scientist
1.80, 71, 63, Scientist
1.75, 69, 25, Programmer
1.70, 65, 20, Programmer
1.90, 83, 33, Builder
1.78, 72, 31, Builder
1.73, 75, 24, Programmer
1.81, 79, 35, Builder
1.73, 78, 75, Scientist
1.80, 72, 63, Scientist
1.75, 69, 25, Programmer
1.70, 75, 20, Programmer
1.90, 80, 33, Builder
1.78, 76, 31, Builder
1.73, 74, 24, Programmer
1.81, 75, 35, Builder
1.73, 77, 75, Scientist
1.80, 78, 63, Scientist
1.75, 69, 25, Programmer
